ticker,name,sector,market_cap,avg_daily_dollar_volume,previous_close,last_premarket,premarket_volume,premarket_dollar_volume,premarket_volume_intensity_pct,gap_pct,broad_qualifier,nasdaq_premarket_ok,strict_activity_pass,activity_score,positive_gap
TSEM,Tower Semiconductor Ltd. - Ordinary Shares,Technology,23621834752.0,277873638.20890653,202.2,215.03,92564.0,19904036.92,7.162981363865854,6.345202769535119,True,True,True,7.194113964668382,True
AXTI,AXT Inc - Common Stock,Technology,4412093952.0,630900467.5219822,64.37,67.84,655120.0,44443340.800000004,7.044429840821363,5.3907099580549955,True,True,True,7.088253668975689,True
AEHR,Aehr Test Systems - Common Stock,Technology,3166304000.0,266166202.0878464,84.25,88.8,203403.0,18062186.4,6.786055576672615,5.400593471810078,True,True,True,6.840784940605725,True
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,Technology,30377730048.0,1352465979.449402,161.6,168.61,541473.0,91297762.53,6.7504664751100005,4.337871287128725,True,True,True,6.92668728079761,True
PPTA,Perpetua Resources Corp. - Common Shares,Basic Materials,2984160256.0,26036397.38371191,22.51,23.7,69854.0,1655539.8,6.358559425873903,5.286539315859606,True,True,True,6.131927770470516,True
PURR,Hyperliquid Strategies Inc - Common Stock,Financial Services,2332505344.0,289692145.7803416,11.43,12.12,1500534.0,18186472.08,6.27786163515453,6.036745406824151,True,True,True,7.0721350436103325,True
COIN,"Coinbase Global, Inc. - Class A Common Stock",Financial Services,45353566208.0,1695557990.8574402,164.69,169.55,621189.0,105322594.95,6.211677543198543,2.950998846317332,True,True,True,6.488846823644133,True
HMY,Harmony Gold Mining Company Limited,Basic Materials,12752664576.0,80619790.60297728,19.21,20.15,243965.0,4915894.75,6.097627782499421,4.893284747527327,True,True,True,6.305159153999687,True
BTDR,Bitdeer Technologies Group - Ordinary Shares,Technology,3147238400.0,141148236.7212389,11.03,11.53,744459.0,8583612.27,6.081274884752707,4.533091568449676,True,True,True,6.336668681741755,True
BULL,Webull Corporation - Class A Ordinary Shares,Technology,4953297408.0,166076373.10195246,7.67,7.95,1252149.0,9954584.55,5.993979976844142,3.6505867014341664,True,True,True,6.0708773287155315,True
CLSK,"CleanSpark, Inc. - Common Stock",Financial Services,3257724672.0,219049231.1053978,12.79,13.49,968048.0,13058967.52,5.961658689281838,5.473025801407361,True,True,True,6.785826355878092,True
BE,Bloom Energy Corporation Class A Common Stock,Industrials,77858308096.0,2830509729.5942183,269.75,282.0889,586513.0,165448807.00570002,5.845194781556846,4.5741983317886925,True,True,True,7.189740984521181,True
IREN,IREN Limited - Ordinary Shares,Financial Services,17149432832.0,1826451104.580104,42.63,45.64,2338261.0,106718232.04,5.842928495177768,7.060755336617408,True,True,True,7.93629335771011,True
LRCX,Lam Research Corporation - Common Stock,Technology,375590256640.0,2219901790.732947,269.8,280.0,455197.0,127455160.0,5.741477417247276,3.7805782060785775,True,True,True,6.839879964557307,True
ESE,ESCO Technologies Inc. Common Stock,Technology,6941673984.0,51295366.07039642,258.98,267.0,10818.0,2888406.0,5.630929694577142,3.0967642288979746,True,True,True,5.533179314128917,True
WULF,TeraWulf Inc. - Common Stock,Financial Services,8155642368.0,456591888.8423464,15.48,16.49,1542063.0,25428618.869999997,5.569222645297599,6.524547803617553,True,True,True,7.347892617345565,True
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,9067992064.0,1056645776.961158,96.67,100.92,568496.0,57372616.32,5.429692482659589,4.396400124133648,True,True,True,6.834943022589373,True
RCAT,"Red Cat Holdings, Inc. - Common Stock",Industrials,1275180160.0,64129925.4059999,7.1684,7.39,466460.0,3447139.4,5.3752431149366195,3.09134534903186,True,True,True,5.585239499965985,True
BMNR,"BitMine Immersion Technologies, Inc. Common Stock",Financial Services,14806191104.0,999366388.5684768,22.83,23.52,2260746.0,53172745.92,5.320645814010843,3.0223390275952777,True,True,True,6.334323697254952,True
AMD,"Advanced Micro Devices, Inc. - Common Stock",Technology,830676729856.0,8345485565.797766,512.67,535.83,801618.0,429530972.94000006,5.146866165587096,4.517525893849861,True,True,True,7.450271903490158,True
ASML,ASML Holding N.V. - New York Registry Shares,Technology,650304356352.0,1897713149.6884644,1604.0,1636.67,59412.0,97237838.04,5.123948161288914,2.0367830423940303,True,True,True,6.163046060655352,True
ALOY,REalloys Inc. - Common Stock,Basic Materials,640389632.0,24861544.6887722,8.15,8.6,147556.0,1268981.5999999999,5.104194513597897,5.521472392638027,True,True,True,6.158175855366152,True
GFL,"GFL Environmental Inc. Subordinate voting shares, no par value",Industrials,15206113280.0,90391758.64089908,41.07,44.05,102135.0,4499046.75,4.9772753817894415,7.255904553201842,True,True,True,7.124696588513986,True
MSTR,Strategy Inc - Class A Common Stock,Technology,51720114176.0,3405915595.119268,126.29,129.4,1288462.0,166726982.8,4.895217692385638,2.4625861113310554,True,True,True,6.468254566129021,True
