ticker,name,etf,test,price,ret_5,ret_20,ret_60,ret_120,drawdown_52,off_low_52,ma20,ma50,vol_ratio,dollar_volume,volatility
INVA,"Innoviva, Inc. - Common Stock",N,N,21.420000076293945,0.008474590730483067,0.04436859274777882,-0.04075234440310194,-0.025034103516162975,-0.11633662217209395,0.28494301009361567,0.019514523304666076,-0.006060146153357926,0.7490755861295637,13481111.55286789,0.24782961988964183
IONS,"Ionis Pharmaceuticals, Inc. - Common Stock",N,N,61.68199920654297,-0.026483607759537287,0.13825430466317368,-0.16124560186782189,-0.1473320109330052,-0.28691330397060155,0.1914622109548938,0.04107099914915757,-0.005383152335458052,0.6371779623112549,122398859.60178223,0.6257596683232441
IOSP,Innospec Inc. - Common Stock,N,N,93.30000305175781,-0.024670714196160404,0.014571596135557252,0.14647341116541024,0.3714750652988945,-0.024670714196160404,0.43267022203602656,-0.004619473723254441,0.06279976814747346,0.8332965458678726,15153637.454532623,0.2163379506009479
IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",N,N,8.529999732971191,0.05569304622700244,0.9654376573892178,1.1324999332427979,1.0958229418180196,-0.0511679699508778,3.7127071837759447,0.13047508694568388,0.49235448202210863,0.8885521289691976,136850625.07538277,1.2244915250123007
IPAR,"Interparfums, Inc. - Common Stock",N,N,117.48999786376953,0.007028368112570016,-0.047661544556262925,0.2817490013574364,0.31540871577222096,-0.08603659996441393,0.5157892737156542,0.004445568695409019,-0.009385939933295395,0.6379948310401328,26126275.723415375,0.3408263640148352
IPGP,IPG Photonics Corporation - Common Stock,N,N,75.34269714355469,0.015263415618597342,-0.17882618917106607,-0.3228839811576508,-0.31269207028090606,-0.5104756328317659,0.06506501864262138,-0.055508367297553596,-0.18073575716650236,1.402497690390919,46113056.09793701,0.6623888434056948
IPST,"IP Strategy Holdings, Inc. - Common Stock",N,N,4.179999828338623,-0.30217028579980476,0.8660713439921339,0.23303825928842525,-0.5760649113706708,-0.9895500004291534,1.188481623762868,-0.23740025688027933,0.1467448982052577,0.4202394757473738,69761546.68926597,5.584719839691537
IPX,IperionX Limited - American Depositary Share,N,N,20.822999954223633,-0.009843115818504167,-0.12397982527499285,-0.42667951186158704,-0.48661244454652086,-0.6535850982733529,0.02829629403573497,-0.08628573537674145,-0.1243540919252849,0.9305710137456975,5493415.554190827,0.7790116501976706
IRD,"Opus Genetics, Inc. - Common Stock",N,N,3.9119999408721924,0.029473681568769283,0.03492062711151034,-0.02928046223148184,-0.19173557488825854,-0.3196521841961405,2.0803149603342814,0.023654989602782672,0.051205964699999384,0.903643810024009,2858897.626840675,0.6306085747756427
IRDM,Iridium Communications Inc - Common Stock,N,N,46.93000030517578,-0.005720348588970192,-0.02977049118270203,-0.00844070226320437,0.9114214739243629,-0.15775306394396416,2.0143569122831604,-0.03063226020844889,-0.030379906565342618,0.3863870789531464,43164252.81453018,0.6798369660671939
IREN,IREN Limited - Ordinary Shares,N,N,37.040000915527344,-0.06417384532646597,-0.04757003093740131,-0.37421858802319086,-0.10466517109383333,-0.5152467067097531,0.4175278264509774,-0.08871159469323608,-0.08332031823079611,0.9538045818602958,1762237806.298987,1.1837174689119685
IRMD,iRadimed Corporation - Common Stock,N,N,86.88999938964844,-0.006630865702073496,-0.051928609233968914,-0.07734040037438339,-0.12155819742137708,-0.16952947947702324,0.2850570074748475,-0.010889262917938902,-0.05852739574765231,0.5734810071571018,8506510.294642638,0.28693123025505185
IRON,"Disc Medicine, Inc. - Common Stock",N,N,80.01499938964844,-0.032115626443720124,0.01400324009957754,0.21603336897582226,0.33893911708522917,-0.14977155593762426,0.43011614474631643,0.0008349097435751407,0.034177009592780694,0.8264947758828644,30274102.164520264,0.3429392564202738
